Kvote;LAERESTEDNAVN;Lærested;Opptaksrunde;Poenggrense;POENGGRENSE;Sesong;Studiekode;STUDIEPOENG;STUDIESTED;STUDIUMNAVN;TID;Utdanningsområde og -type *IKKE BRUK*;År;Venteliste
ORDF;OsloMet - storbyuniversitetet;OSLOMET;Hovedopptak;51,1;  51.1;H;215 744;180;Oslo;Ortopediingeniør;2017H;HELSEFAG - ORTOPEDI;2017;17
ORD;OsloMet - storbyuniversitetet;OSLOMET;Hovedopptak;57,7;  57.7;H;215 744;180;Oslo;Ortopediingeniør;2017H;HELSEFAG - ORTOPEDI;2017;34
ORDF;Høgskolen i Østfold;HIØ;Hovedopptak;0;Alle;H;224 610;60;Nettstudium;Fransk;2017H;SPRÅK;2017;0
ORD;Høgskolen i Østfold;HIØ;Hovedopptak;0;Alle;H;224 610;60;Nettstudium;Fransk;2017H;SPRÅK;2017;0
ORDF;VID vitenskapelige høgskole;VID;Hovedopptak;35;  35.0;H;251 700;180;Sandnes;Ergoterapeututdanning;2017H;HELSEFAG - ERGO;2017;50
ORD;VID vitenskapelige høgskole;VID;Hovedopptak;43,8;  43.8;H;251 700;180;Sandnes;Ergoterapeututdanning;2017H;HELSEFAG - ERGO;2017;176
ORDF;Noroff University College;NOROFF;Hovedopptak;0;Alle;H;259 673;180;Kristiansand;Interactive Media Games;2017H;MEDIEFAG;2017;0
ORD;Noroff University College;NOROFF;Hovedopptak;0;Alle;H;259 673;180;Kristiansand;Interactive Media Games;2017H;MEDIEFAG;2017;0
ORD;Universitetet i Agder;UIA;Hovedopptak;44,8;  44.8;H;201 240;60;Kristiansand;Sosiologi;2017H;SAMFUNN;2017;162
ORDF;Universitetet i Agder;UIA;Hovedopptak;40,9;  40.9;H;201 240;60;Kristiansand;Sosiologi;2017H;SAMFUNN;2017;75
ORDF;Universitetet i Agder;UIA;Hovedopptak;0;Alle;H;201 336;180;Nettstudium;Skolebibliotekkunnskap;2017H;MEDIEFAG;2017;0
ORD;Universitetet i Agder;UIA;Hovedopptak;48,6;  48.6;H;201 336;180;Nettstudium;Skolebibliotekkunnskap;2017H;MEDIEFAG;2017;30
ORDF;Høgskulen på Vestlandet;HVL;Hovedopptak;0;Alle;H;203 002;180;Haugesund;Ingeniør, brannsikkerhet;2017H;TEKNO - INGENIØR;2017;0
ORD;Høgskulen på Vestlandet;HVL;Hovedopptak;0;Alle;H;203 002;180;Haugesund;Ingeniør, brannsikkerhet;2017H;TEKNO - INGENIØR;2017;0
ORDF;Nord universitet;NORD;Hovedopptak;0;Alle;H;204 481;180;Bodø;Historie, bachelor;2017H;HISTORIE;2017;0
ORD;Nord universitet;NORD;Hovedopptak;0;Alle;H;204 481;180;Bodø;Historie, bachelor;2017H;HISTORIE;2017;0
ORDF;Nord universitet;NORD;Hovedopptak;46;  46.0;H;204 749;180;Namsos;Farmasi;2017H;HELSEFAG - RESEPTAR;2017;61
ORD;Nord universitet;NORD;Hovedopptak;51,6;  51.6;H;204 749;180;Namsos;Farmasi;2017H;HELSEFAG - RESEPTAR;2017;125
ORDF;Universitetet i Sørøst-Norge;USN;Hovedopptak;0;Alle;H;222 155;180;Kongsberg;Lysdesign;2017H;TEKNO - ANNET;2017;0
ORD;Universitetet i Sørøst-Norge;USN;Hovedopptak;0;Alle;H;222 155;180;Kongsberg;Lysdesign;2017H;TEKNO - ANNET;2017;0
ORDF;Universitetet i Innlandet;INN;Hovedopptak;-1;O.i.;H;210 534;180;Lillehammer;TV-ledelse;2017H;MEDIEFAG;2017;0
ORD;Universitetet i Innlandet;INN;Hovedopptak;-1;O.i.;H;210 534;180;Lillehammer;TV-ledelse;2017H;MEDIEFAG;2017;0
ORD;Universitetet i Sørøst-Norge;USN;Hovedopptak;0;Alle;H;222 353;180;Horten;Nautikk;2017H;TEKNO - MARITIM;2017;0
ORDF;Universitetet i Sørøst-Norge;USN;Hovedopptak;0;Alle;H;222 353;180;Horten;Nautikk;2017H;TEKNO - MARITIM;2017;0
ORD;Høgskulen i Volda;HVO;Hovedopptak;41;  41.0;H;223 210;60;Volda;Norsk (nordisk);2017H;SPRÅK;2017;6
